,exp_type,experiment,frac_gene,gene,trial,growth_rate_hr
135,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cusB,1.0,0.967182112409226
136,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cusC,1.0,0.967182112409226
137,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cusF,1.0,0.967182112409226
138,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cusR,1.0,0.967182112409226
139,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cusS,1.0,0.967182112409226
140,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cyaY,1.0,0.967182112409226
141,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cydA,1.0,0.967182112409226
142,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cydC,1.0,0.967182112409226
143,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cyoA,1.0,0.967182112409226
144,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cyoB,1.0,0.967182112409226
145,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysA,1.0,0.967182112409226
146,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysB,1.0,0.967182112409226
147,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysC,1.0,0.967182112409226
148,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysD,1.0,0.967182112409226
149,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysE,1.0,0.967182112409226
150,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysG,1.0,0.967182112409226
151,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysH,1.0,0.967182112409226
152,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysI,1.0,0.967182112409226
153,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysJ,1.0,0.967182112409226
