gene,counts,phase,time,fraction,cog_letter,sector
crfC,9738,shift,5.0,0.0021516633188246,L,other
crl,1683,shift,5.0,0.00037186787488,S,other
crp,3212,shift,5.0,0.000709708623954,T,other
crr,6722,shift,5.0,0.0014852619458964,G,metabolic
csdA,202,shift,5.0,4.463298320010093e-05,E,metabolic
csdE,208,shift,5.0,4.595871537436136e-05,O,other
csgA,182,shift,5.0,4.021387595256619e-05,S,other
csgB,29,shift,5.0,6.4077055089253815e-06,S,other
csgC,6,shift,5.0,1.3257321742604238e-06,S,other
csgD,25,shift,5.0,5.523884059418432e-06,T,other
csgE,5,shift,5.0,1.1047768118836864e-06,S,other
csgF,1,shift,5.0,2.209553623767373e-07,S,other
csgG,30,shift,5.0,6.628660871302119e-06,M,other
csiD,10705,shift,5.0,0.0023653271542429,S,other
csiE,70,shift,5.0,1.546687536637161e-05,K,other
csiR,1230,shift,5.0,0.0002717750957233,K,other
cspA,603,shift,5.0,0.0001332360835131,K,other
cspB,106,shift,5.0,2.3421268411934157e-05,K,other
cspC,2691,shift,5.0,0.0005945908801558,K,other
cspD,29111,shift,5.0,0.0064322315541491,K,other
cspE,33286,shift,5.0,0.007354720192072,K,other
cspF,1,shift,5.0,2.209553623767373e-07,K,other
cspG,64,shift,5.0,1.4141143192111186e-05,K,other
cspH,2,shift,5.0,4.419107247534746e-07,K,other
cspI,14,shift,5.0,3.093375073274322e-06,K,other
csrA,4734,shift,5.0,0.0010460026854914,T,other
csrD,502,shift,5.0,0.0001109195919131,T,other
cstA,35873,shift,5.0,0.0079263317145406,T,other
cueO,896,shift,5.0,0.0001979760046895,D,other
cueR,348,shift,5.0,7.689246610710458e-05,K,other
curA,911,shift,5.0,0.0002012903351252,Q,other
cusA,95,shift,5.0,2.099075942579004e-05,P,metabolic
cusB,160,shift,5.0,3.5352857980277966e-05,M,other
cusC,2284,shift,5.0,0.0005046620476684,M,other
cusF,164,shift,5.0,3.623667942978492e-05,P,metabolic
cusR,445,shift,5.0,9.83251362576481e-05,T,other
cusS,151,shift,5.0,3.336425971888733e-05,T,other
cutA,64,shift,5.0,1.4141143192111186e-05,P,metabolic
cutC,611,shift,5.0,0.0001350037264121,P,metabolic
cvpA,79,shift,5.0,1.7455473627762245e-05,S,other
cvrA,183,shift,5.0,4.043483131494292e-05,C,metabolic
cyaA,1214,shift,5.0,0.0002682398099253,F,metabolic
cyaY,170,shift,5.0,3.756241160404534e-05,P,metabolic
cybB,490,shift,5.0,0.0001082681275646,C,metabolic
cycA,2158,shift,5.0,0.0004768216720089,E,metabolic
cydA,2289,shift,5.0,0.0005057668244803,C,metabolic
cydB,1827,shift,5.0,0.0004036854470622,C,metabolic
cydC,118,shift,5.0,2.6072732760455e-05,C,metabolic
cydD,103,shift,5.0,2.275840232480394e-05,C,metabolic
cydX,291,shift,5.0,6.429801045163055e-05,S,other
cynR,27,shift,5.0,5.965794784171906e-06,K,other
cynS,5,shift,5.0,1.1047768118836864e-06,P,metabolic
cynT,4,shift,5.0,8.838214495069491e-07,P,metabolic
cynX,19,shift,5.0,4.198151885158009e-06,P,metabolic
cyoA,1613,shift,5.0,0.0003564009995136,C,metabolic
cyoB,1371,shift,5.0,0.0003029298018185,C,metabolic
cyoC,649,shift,5.0,0.0001434000301825,C,metabolic
cyoD,568,shift,5.0,0.0001255026458299,C,metabolic
cyoE,1504,shift,5.0,0.0003323168650146,H,metabolic
cysA,115,shift,5.0,2.5409866673324788e-05,P,metabolic
cysB,215,shift,5.0,4.750540291099852e-05,K,other
cysC,69,shift,5.0,1.5245920003994872e-05,P,metabolic
cysD,58,shift,5.0,1.2815411017850765e-05,E,metabolic
cysE,507,shift,5.0,0.000112024368725,E,metabolic
cysG,369,shift,5.0,8.153252871701606e-05,H,metabolic
cysH,95,shift,5.0,2.099075942579004e-05,E,metabolic
cysI,68,shift,5.0,1.5024964641618136e-05,P,metabolic
cysJ,29,shift,5.0,6.4077055089253815e-06,P,metabolic
cysK,1535,shift,5.0,0.0003391664812482,E,metabolic
cysM,168,shift,5.0,3.712050087929186e-05,E,metabolic
cysN,236,shift,5.0,5.214546552091e-05,P,metabolic
cysP,42,shift,5.0,9.280125219822966e-06,P,metabolic
cysQ,4133,shift,5.0,0.000913208512703,P,metabolic
cysS,460,shift,5.0,0.0001016394666932,J,ribosomal
cysU,18,shift,5.0,3.977196522781272e-06,P,metabolic
cysW,49,shift,5.0,1.0826812756460126e-05,P,metabolic
cysZ,176,shift,5.0,3.888814377830576e-05,E,metabolic
cytR,337,shift,5.0,7.446195712096047e-05,K,other
dacA,216,shift,5.0,4.772635827337525e-05,M,other
