,,,downshift,downshift,downshift,downshift,downshift,downshift,downshift,downshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
dapA,amino acid synthesis,C up,"0,020388922","0,032949312","0,026583734","0,018126223","0,034685597","0,02311944","0,02484944","0,061358241","0,0213858","0,021336058","0,011574074",0,"0,021001785","0,016325825","0,023331565","0,02058249"
hupA,,C up,"0,415927756","0,370142991","0,425407815","0,402450979","0,424985919","0,451307316","0,473249728","0,432137909","0,330070214","0,369838337","0,340523472","0,332459479","0,31098411","0,344546532","0,328043045","0,350200887"
hupB,,C up,"0,316252056","0,290958862","0,347050291","0,457916893","0,472182463","0,425486204","0,46106581","0,472685192","0,536395954","0,626095898","0,527983808","0,479751645","0,416116246","0,52855167","0,366276259","0,454140701"
dcp,,C up,"0,02673249","0,022054359","0,025121987","0,016626645","0,020751028","0,027052387","0,023331049","0,04418343","0,04752192","0,036815943","0,029422718","0,047386479","0,045651756","0,028230587","0,032111765","0,02215135"
dcrB,,C up,"0,020388922","0,013285506","0,025121987","0,028210935","0,036670205","0,043776329","0,028404616","0,049100334","0,052272241","0,047483972","0,058520414","0,034201953","0,050902202","0,044556412","0,048167647","0,036999895"
hemE,,C up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00989903"
degP,,C up,"0,047121412","0,05500367","0,053167468","0,087631961","0,133047901","0,131089865","0,139986294","0,143596147","0,120583831","0,101868432","0,099842227","0,123842182","0,117555743","0,083926102","0,082587878","0,080518164"
degQ,,C up,"0,02673249","0,022054359","0,033960541","0,05642187","0,050604774","0,03467916","0,041588531","0,034349621","0,03168128","0,042672115","0,046946339","0,035661487","0,035471315","0,03936969","0,027144548","0,036999895"
deoB,nucleotide synthesis,C up,"0,012687135",0,"0,011830119","0,041294803","0,063115721","0,047470155","0,053254056","0,047888285","0,02098838","0,032004086","0,041321813","0,023449984","0,030220869","0,028230587","0,022177332","0,016417405"
deoC,,C up,"0,012687135","0,015411606","0,013291867","0,023168579","0,02217465","0,016723942","0,016739091","0,019667617","0,02098838","0,021336058","0,02347317","0,023449984","0,015110434","0,017091484","0,022177332","0,02136692"
deoD,,C up,"0,062524985","0,05075147","0,039875601","0,066506581","0,054013004","0,082388435","0,077103498","0,089647618","0,083754811","0,066731397","0,081831073","0,104065393","0,086693969","0,098720609","0,059256313","0,04273384"
mglB,Catabolic,C up,"0,028090709","0,022054359","0,137371983","0,243270081","0,337451605","0,308179489","0,373296785","0,348550535","0,346705693","0,351000635","0,317212813","0,278213122","0,224610593","0,178225647","0,120821092","0,133935464"
gdhA,amino acid synthesis,C up,"0,48116918","0,579262719","0,52728944","0,455330072","0,351084523","0,300552716","0,341855387","0,32645882","0,430659214","0,404750503","0,441503274","0,499528434","0,468941162","0,491651847","0,55824628","0,544856455"
sdhA,TCA,C up,"0,467123826","0,491574189","0,394370769","0,462415627","0,525634481","0,597650727","0,611199238","0,634668199","0,759537168","0,708082311","0,703220028","0,759205405","0,60032553","0,589433906","0,517704599","0,531035275"
sdhB,TCA,C up,"0,340715636","0,363500238","0,302789447","0,387867534","0,416184852","0,495083645","0,486433644","0,535324191","0,618362377","0,600357707","0,644862125","0,652707456","0,592511466","0,538159455","0,488251585","0,407783271"
lpdA,,C up,"0,726283773","0,713714971","0,688253592","0,702142931","0,694791601","0,823920022","0,648232596","0,775908958","0,81081586","0,901376015","0,867369705","0,852518829","0,867703808","0,82760324","0,742136668","0,660021224"
ysgA,,C up,"0,028090709","0,028697111","0,032498794","0,047836736","0,049181152","0,046238879","0,034996574","0,042971381","0,04732321","0,060240632","0,035372265","0,023449984","0,040721761","0,038604031","0,039387447","0,026316435"
dppC,Catabolic,C up,0,0,0,"0,010084712",0,"0,010328445",0,"0,011045857","0,01029548","0,015479885","0,011574074",0,"0,009859988","0,010373444",0,"0,00989903"
dppF,Catabolic,C up,"0,012687135","0,017537706","0,014753615","0,01158429","0,011087325","0,016723942","0,016739091","0,022091715","0,05801611","0,052295828","0,041159302","0,040794216","0,045651756","0,021512547","0,037078981","0,04273384"
ecnB,,C up,0,"0,013285506","0,011830119","0,023168579","0,02217465","0,02311944","0,023331049","0,022091715","0,01029548","0,011712345",0,"0,011238481",0,0,0,0
elaB,,C up,0,0,"0,014753615","0,016626645","0,015919177","0,016723942","0,011665525","0,019667617","0,01049419","0,019247426","0,011574074","0,011724992","0,01018044","0,011904762","0,011088666","0,00989903"
emrA,,C up,0,0,0,"0,010084712",0,"0,010328445",0,"0,009833809",0,0,0,"0,011238481",0,"0,010373444","0,009934433",0
fadA,,C up,0,0,"0,029507229","0,097716672","0,104617778","0,091246483","0,091805805","0,109246526","0,083953521","0,078443742","0,064469961","0,087694184","0,040721761","0,038604031","0,028298781","0,027100865"
fadB,,C up,"0,014045354","0,013285506","0,06353584","0,162180054","0,232833827","0,210537508","0,227236926","0,223341248","0,183747682","0,138684375","0,13472696","0,141672925","0,097194862","0,061647896","0,05544333","0,04273384"
fadE,,C up,0,0,0,"0,036252447","0,042925678","0,052634377","0,033478182","0,020879666","0,03148257","0,015479885","0,023798191","0,011724992","0,015430887",0,0,"0,00989903"
fadL,,C up,0,0,"0,014753615","0,084632805","0,100346912","0,059029874","0,081658672","0,063851047","0,04197676","0,015479885","0,02347317","0,011724992","0,020360881","0,010373444","0,011088666","0,01068346"
fkpA,,C up,"0,173529602","0,182813169","0,178709332","0,129470385","0,153798929","0,160604802","0,177019652","0,173097573","0,162958011","0,190980203","0,146626055","0,18759987","0,163207498","0,177459988","0,14796564","0,138884979"
flgE,motility,C up,"0,082913907","0,057394223","0,031037046","0,023168579","0,068508558","0,092477759","0,086732238","0,100624766","0,094447711","0,085344231","0,070256998","0,058138448","0,071903987","0,07202134","0,10476521","0,090417194"
flgG,motility,C up,"0,014045354","0,015411606","0,014753615","0,013083868","0,011087325","0,016723942","0,021812658","0,015962762","0,02098838","0,020291742","0,017523622","0,023449984","0,015110434","0,016325825","0,011088666","0,01146789"
flgH,motility,C up,0,0,"0,013291867","0,01158429","0,011087325","0,027052387","0,013183916","0,020879666","0,03128386","0,035771627","0,029260207","0,022963472","0,030220869","0,021512547","0,019868865","0,01979806"
flgK,motility,C up,"0,050748541","0,041982617",0,0,"0,019327406","0,056567324","0,085213847","0,08836686","0,078805781","0,082211283","0,04710885","0,053005719","0,061403094","0,044556412","0,054289096","0,063316329"
flgL,motility,C up,"0,042136063","0,057394223","0,013291867","0,016626645","0,028430124","0,053865652","0,081658672","0,089578909","0,0792032","0,0997798","0,047433872","0,041767239","0,04629266","0,083926102","0,092522311","0,090417194"
flgM,motility,C up,0,0,0,0,"0,009663703","0,020656889","0,020294267","0,019667617","0,01049419","0,019247426","0,011736585","0,011724992",0,"0,026699269","0,021023099",0
flgN,motility,C up,"0,020388922","0,039856517","0,011830119","0,020169423","0,009663703","0,032216609","0,051735665","0,036842428","0,068311591","0,061919541","0,070419509","0,0642442","0,055832196","0,054164197","0,032111765","0,036999895"
fliA,motility,C up,0,"0,013285506","0,011830119","0,010084712","0,009663703","0,029514937","0,036514965","0,031925524","0,04752192","0,052295828","0,04710885","0,058138448","0,030861773","0,034182968","0,045508897","0,03283481"
fliC,motility,C up,"1,037102952","0,98341283","0,608570459","0,409536535","0,520802629","0,884898535","0,896800576","1,630557093","1,622842694","1,999218696","1,169433206","0,947778298","1,132838921","1,007360205","1,139720742","1,280932198"
fliD,motility,C up,"0,014045354","0,015411606",0,"0,010084712",0,"0,043776329","0,083695456","0,12278519","0,07900449","0,096646852","0,02347317","0,046899968","0,040401309","0,060116578","0,043200431","0,05263287"
fliF,motility,C up,"0,014045354","0,026571011","0,011830119","0,013083868","0,015919177","0,033447884","0,016739091","0,027008619","0,03128386","0,036815943","0,035047244","0,040794216","0,045331303","0,043025094","0,016055882","0,02136692"
fliG,motility,C up,"0,020388922","0,015411606","0,019206927","0,016626645","0,02217465","0,033447884","0,028404616","0,038054477","0,04732321","0,053340144","0,064469961","0,0642442","0,040721761","0,054929856","0,048167647","0,05420173"
fliH,motility,C up,"0,012687135","0,013285506","0,013291867","0,010084712","0,019327406","0,01155972","0,010147133","0,031925524","0,02118709","0,020291742","0,011736585","0,017344232","0,035791767","0,016325825","0,022177332","0,016417405"
fliI,motility,C up,"0,02537427",0,"0,011830119",0,"0,028991109","0,029514937","0,034996574","0,02579657","0,04752192","0,053340144","0,041321813","0,035661487","0,030861773","0,044556412","0,043200431","0,03205038"
fliM,motility,C up,0,0,"0,011830119",0,0,"0,012790995","0,011665525","0,036773719","0,0320787","0,016524201","0,02347317","0,024423006","0,025611327","0,028230587","0,011088666","0,027100865"
fliN,motility,C up,0,0,0,0,0,0,"0,010147133","0,012257906","0,01029548","0,009623713",0,0,"0,009859988",0,"0,019868865","0,00989903"
fliS,motility,C up,0,"0,022054359",0,"0,010084712","0,012510947","0,02311944","0,023331049","0,022091715","0,02098838","0,015479885","0,017523622","0,023449984","0,020360881","0,022278206","0,021023099","0,02136692"
fliY,Catabolic,C up,"0,292236005","0,231438539","0,217123185","0,197476545","0,203541067","0,253321682","0,272380633","0,297094812","0,346109563","0,347867687","0,357559562","0,308522984","0,330063182","0,330344794","0,306669663","0,342655147"
fliZ,,C up,"0,02537427","0,015411606","0,013291867","0,010084712","0,015919177","0,027052387","0,028404616","0,033137572","0,03148257","0,026147914","0,040996792","0,041280727","0,040721761","0,022278206","0,027144548","0,02136692"
folX,,C up,0,0,"0,011830119",0,0,0,0,"0,012257906",0,0,"0,011574074",0,0,0,0,"0,01068346"
ftnA,,C up,"0,020388922","0,015411606","0,013291867","0,01158429","0,015919177","0,01155972","0,011665525","0,023303764","0,01564193","0,010668029","0,011736585","0,011724992","0,01018044","0,022278206","0,017210115","0,01068346"
ftsA,,C up,"0,030807147","0,030823212","0,025121987","0,024668157","0,027006502","0,017955217","0,02484944","0,011045857","0,02118709","0,010668029","0,017523622","0,017344232","0,01018044","0,020746888","0,029803298","0,02136692"
ftsZ,,C up,"0,20297853","0,184939269","0,197984328","0,255397993","0,215491029","0,212007904","0,241420839","0,217281003","0,178599942","0,210227628","0,187785358","0,193705622","0,183247927","0,199738194","0,172451439","0,172504218"
fumA,TCA,C up,"0,051651415","0,055135896","0,054663251","0,094445706","0,148255267","0,145847334","0,147596644","0,14117205","0,178103167","0,172889528","0,161012393","0,140456647","0,134810722","0,107266351","0,101127368","0,089632764"
fumC,TCA,C up,"0,02537427","0,013285506","0,013291867","0,061464226","0,068508558","0,069358319","0,115136854","0,101836815","0,094050291","0,093923627","0,088105642","0,098932664","0,091944416","0,066834618","0,076466428","0,091201624"
gabT,Catabolic,C up,0,0,"0,038413854","0,102759028","0,056860247","0,047470155","0,04969888","0,031925524","0,01584064","0,016524201","0,023798191","0,011724992","0,010500893","0,011139103","0,011088666","0,01146789"
ghrB,,C up,"0,056181418","0,05287757","0,070912647","0,084632805","0,036670205","0,039843382","0,068474756","0,047888285","0,06316385","0,069864345","0,094217701","0,082074943","0,076513529","0,060116578","0,071499212","0,069050274"
glgA,,C up,0,0,0,"0,034752869","0,058283869","0,029514937","0,034996574","0,039266526",0,"0,009623713","0,02347317","0,011238481","0,010500893","0,010373444",0,"0,00989903"
glgC,,C up,0,0,"0,019206927","0,031753713","0,04775753","0,052634377","0,040588534","0,031925524","0,01049419","0,015479885","0,011574074",0,"0,01018044","0,011904762","0,009934433","0,00989903"
glk,Catabolic,C up,"0,034434276","0,035075412","0,011830119","0,018126223","0,031838353","0,029514937","0,029923007","0,028220668","0,02078967","0,036815943","0,023310659","0,017344232","0,030861773",0,"0,021023099","0,015632975"
glmM,,C up,"0,048479631","0,061646423","0,053167468","0,081633649","0,077611276","0,068127044","0,056809232","0,08836686","0,062965141","0,080532374","0,07058202","0,06986344","0,096553957","0,054929856","0,072653445","0,057582384"
glnB,,C up,"0,020388922","0,013285506","0,011830119","0,026711357","0,017342799","0,03467916","0,018257482","0,02579657","0,02078967","0,016524201","0,011574074","0,017344232","0,015430887","0,016325825","0,016055882","0,016417405"
glpK,,C up,0,0,"0,014753615","0,052879092","0,115705103","0,082149314","0,075066714","0,060146192","0,041778051","0,021336058","0,029422718","0,035661487","0,025290875","0,017091484","0,024485798","0,01146789"
grxB,,C up,"0,021747141","0,030823212","0,019206927","0,039795225","0,061692099","0,053865652","0,06491958","0,040478575","0,03682902","0,026147914","0,035209755","0,029069224","0,020681333","0,022278206","0,038233214","0,03126595"
grxC,,C up,"0,020388922","0,022054359","0,032498794","0,038295647","0,038093827","0,039843382","0,034996574","0,050312383","0,041778051","0,036815943","0,040996792","0,035174976","0,030541321","0,021512547","0,037078981","0,047683355"
gltI,Catabolic,C up,"0,349775642","0,255618998","0,423877998","0,578802145","0,867917937","0,910994438","0,998198332","0,972172877","0,833791338","0,767688351","0,657411264","0,665624366","0,565174667","0,484933808","0,433962488","0,398668671"
gltJ,Catabolic,C up,0,0,0,0,0,"0,01155972","0,011665525","0,022091715",0,"0,009623713",0,"0,011724992","0,009859988",0,0,0
gltL,Catabolic,C up,"0,015403574","0,015411606","0,013291867","0,016626645","0,031838353","0,027052387","0,023331049","0,038054477","0,05247095","0,036815943","0,040996792","0,034688464","0,030541321","0,022278206","0,027144548","0,02136692"
gnsB,,C up,"0,020388922","0,030823212","0,032498794","0,028210935","0,027006502","0,046238879","0,051735665","0,036842428","0,04217547","0,041627799","0,052895887","0,046413456","0,045972208","0,043790753","0,042046197","0,04273384"
gpsA,,C up,"0,02537427","0,013285506",0,"0,028210935","0,020751028","0,021888164","0,011665525","0,019667617","0,03128386","0,020291742",0,"0,011724992","0,015430887","0,011139103","0,009934433","0,03126595"
gpr,,C up,0,0,0,"0,016626645","0,036670205","0,03467916","0,051735665","0,031925524","0,04732321","0,041627799","0,035209755","0,041280727","0,025290875","0,022278206","0,009934433","0,01979806"
gshB,,C up,"0,034434276","0,015411606","0,013291867","0,033253291","0,020751028","0,01155972","0,023331049","0,027008619","0,03148257","0,015479885","0,017523622","0,023449984","0,045651756","0,03265165","0,033265998","0,03048152"
