gene,counts,phase,time,fraction
cysD,58,shift,5.0,1.2815411017850763e-05
cysE,507,shift,5.0,0.0001120243687250058
cysG,369,shift,5.0,8.153252871701606e-05
cysH,95,shift,5.0,2.0990759425790042e-05
cysI,68,shift,5.0,1.5024964641618136e-05
cysJ,29,shift,5.0,6.4077055089253815e-06
cysK,1535,shift,5.0,0.0003391664812482917
cysM,168,shift,5.0,3.712050087929186e-05
cysN,236,shift,5.0,5.214546552091e-05
cysP,42,shift,5.0,9.280125219822966e-06
cysQ,4133,shift,5.0,0.0009132085127030552
cysS,460,shift,5.0,0.00010163946669329915
cysU,18,shift,5.0,3.9771965227812715e-06
cysW,49,shift,5.0,1.0826812756460126e-05
cysZ,176,shift,5.0,3.888814377830576e-05
cytR,337,shift,5.0,7.446195712096047e-05
dacA,216,shift,5.0,4.772635827337525e-05
dacB,43,shift,5.0,9.501080582199704e-06
dacC,1758,shift,5.0,0.00038843952705830414
dacD,151,shift,5.0,3.336425971888733e-05
dadA,2935,shift,5.0,0.0006485039885757239
dadX,1980,shift,5.0,0.00043749161750593986
dam,190,shift,5.0,4.1981518851580085e-05
damX,1726,shift,5.0,0.0003813689554622486
dapA,2350,shift,5.0,0.0005192451015853326
dapB,600,shift,5.0,0.00013257321742604237
dapD,2143,shift,5.0,0.000473507341573348
dapE,893,shift,5.0,0.0001973131386024264
dapF,246,shift,5.0,5.435501914467737e-05
dauA,83,shift,5.0,1.8339295077269194e-05
dbpA,76,shift,5.0,1.6792607540632035e-05
dcd,1415,shift,5.0,0.00031265183776308324
dcm,199,shift,5.0,4.397011711297072e-05
dcp,646,shift,5.0,0.00014273716409537229
dcrB,692,shift,5.0,0.0001529011107647022
dctA,2322,shift,5.0,0.0005130583514387839
dctR,2,shift,5.0,4.4191072475347456e-07
dcuA,953,shift,5.0,0.00021057046034503063
dcuB,91,shift,5.0,2.0106937976283094e-05
dcuC,48,shift,5.0,1.060585739408339e-05
dcuD,37,shift,5.0,8.17534840793928e-06
dcuR,628,shift,5.0,0.00013875996757259102
dcuS,665,shift,5.0,0.0001469353159805303
dcyD,574,shift,5.0,0.0001268283780042472
ddlA,288,shift,5.0,6.363514436450034e-05
ddlB,1150,shift,5.0,0.0002540986667332479
ddpA,304,shift,5.0,6.717043016252814e-05
ddpB,40,shift,5.0,8.838214495069492e-06
ddpC,38,shift,5.0,8.396303770316017e-06
ddpD,47,shift,5.0,1.0384902031706652e-05
ddpF,39,shift,5.0,8.617259132692754e-06
ddpX,263,shift,5.0,5.8111260305081905e-05
deaD,594,shift,5.0,0.00013124748525178195
dedA,182,shift,5.0,4.021387595256619e-05
dedD,430,shift,5.0,9.501080582199703e-05
def,1338,shift,5.0,0.0002956382748600745
degP,961,shift,5.0,0.00021233810324404454
degQ,1545,shift,5.0,0.00034137603487205913
degS,225,shift,5.0,4.971495653476589e-05
deoA,376,shift,5.0,8.307921625365322e-05
deoB,512,shift,5.0,0.00011312914553688949
deoC,249,shift,5.0,5.501788523180759e-05
deoD,465,shift,5.0,0.00010274424350518285
deoR,166,shift,5.0,3.667859015453839e-05
der,544,shift,5.0,0.00012019971713294509
dfp,310,shift,5.0,6.849616233678856e-05
dgcC,35,shift,5.0,7.733437683185805e-06
dgcE,635,shift,5.0,0.00014030665510922818
dgcF,42,shift,5.0,9.280125219822966e-06
dgcI,12,shift,5.0,2.6514643485208475e-06
dgcJ,130,shift,5.0,2.8724197108975847e-05
dgcM,212,shift,5.0,4.6842536823868306e-05
dgcN,48,shift,5.0,1.060585739408339e-05
dgcP,145,shift,5.0,3.203852754462691e-05
dgcQ,430,shift,5.0,9.501080582199703e-05
dgcT,48,shift,5.0,1.060585739408339e-05
dgcZ,220,shift,5.0,4.8610179722882203e-05
dgkA,167,shift,5.0,3.689954551691513e-05
dgoA,27,shift,5.0,5.9657947841719064e-06
dgoD,43,shift,5.0,9.501080582199704e-06
dgoK,58,shift,5.0,1.2815411017850763e-05
dgoR,219,shift,5.0,4.838922436050547e-05
dgoT,53,shift,5.0,1.1710634205967077e-05
dgt,521,shift,5.0,0.00011511774379828013
dhaK,603,shift,5.0,0.0001332360835131726
dhaL,303,shift,5.0,6.69494748001514e-05
dhaM,338,shift,5.0,7.468291248333721e-05
dhaR,277,shift,5.0,6.120463537835623e-05
diaA,315,shift,5.0,6.960093914867225e-05
dicA,254,shift,5.0,5.6122662043691274e-05
dicB,4,shift,5.0,8.838214495069491e-07
dicC,3,shift,5.0,6.628660871302119e-07
dinB,167,shift,5.0,3.689954551691513e-05
dinD,134,shift,5.0,2.9608018558482796e-05
dinF,74,shift,5.0,1.635069681587856e-05
dinG,166,shift,5.0,3.667859015453839e-05
dinI,104,shift,5.0,2.2979357687180677e-05
dinJ,1863,shift,5.0,0.0004116398401078616
dinQ,2960,shift,5.0,0.0006540278726351424
djlA,196,shift,5.0,4.3307251025840506e-05
djlB,7,shift,5.0,1.546687536637161e-06
djlC,59,shift,5.0,1.30363663802275e-05
dkgA,2371,shift,5.0,0.0005238851641952441
dkgB,54,shift,5.0,1.1931589568343813e-05
dksA,13251,shift,5.0,0.002927879506854146
dld,1483,shift,5.0,0.0003276768024047014
dmlA,97,shift,5.0,2.143267015054352e-05
dmlR,1828,shift,5.0,0.00040390640242467577
dmsA,214,shift,5.0,4.728444754862178e-05
dmsB,37,shift,5.0,8.17534840793928e-06
dmsC,179,shift,5.0,3.955100986543598e-05
dmsD,114,shift,5.0,2.518891131094805e-05
dnaA,1256,shift,5.0,0.00027751993514518204
